4000 0 0 0 0 0 0 -0.0149896 0.0160159 -0.00259093 955.964 0 487.76 11.8286 4095
8000 0 0 0 0 0 0 -0.00302023 0.00119264 0.00174768 955.942 4.10224e-13 488.09 11.8274 4095
12000 0 0 -9.8066 0 0 0 0.220096 0.0115685 0.43388 955.942 4.1259e-13 488.208 11.8274 4095
16000 0.00312503 -0.000300204 -9.8066 2.81961e-05 9.0746e-05 3.11111e-09 0.209364 0.0101338 0.405669 955.942 4.12486e-13 488.078 11.8274 4095
20000 0.00305855 -0.000366116 -9.8066 2.82873e-05 9.07403e-05 -5.03888e-10 0.233325 0.00798226 0.423003 955.942 4.1248e-13 488.1 11.8274 4095
24000 0.00300653 -0.000416451 -9.8066 2.82954e-05 9.07398e-05 -6.98898e-10 0.217468 0.0167284 0.421716 955.942 4.12477e-13 488.081 11.8274 4095
28000 0.00296964 -0.000452257 -9.8066 2.83002e-05 9.07394e-05 -8.44005e-10 0.218626 0.0217396 0.4303 955.942 4.12474e-13 488.176 11.8274 4095
32000 0.00294333 -0.000478966 -9.8066 2.83036e-05 9.07392e-05 -9.53483e-10 0.208997 0.0265139 0.422443 955.942 4.12472e-13 488.112 11.8274 4095
36000 0.00292454 -0.00049923 -9.8066 2.83061e-05 9.07391e-05 -1.03764e-09 0.207387 0.0124422 0.431114 955.942 4.12471e-13 488.1 11.8274 4095
40000 0.00291109 -0.000514913 -9.8066 2.83078e-05 9.0739e-05 -1.10379e-09 0.222829 0.0228666 0.441224 955.942 4.1247e-13 488.113 11.8274 4095
44000 0.00290144 -0.000527343 -9.8066 2.83091e-05 9.07389e-05 -1.15715e-09 0.210122 0.0179854 0.438787 955.942 4.1247e-13 488.088 11.8274 4095
48000 0.00289449 -0.000537459 -9.8066 2.831e-05 9.07388e-05 -1.20142e-09 0.218963 0.0183067 0.431453 955.942 4.12469e-13 488.062 11.8274 4095
52000 0.00288945 -0.000545931 -9.8066 2.83107e-05 9.07388e-05 -1.23923e-09 0.214702 -0.00698531 0.424693 955.942 4.12469e-13 488.06 11.8274 4095
